,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
10,10,-100.002,2024-05-18 23:08:30.030114,2024-05-18 23:47:14.259188,0 days 00:38:44.229074,tanh,0.060421959235439235,0.92,0.98,0.00082012616981141,constant,0.9,128,small,True,True,False,0.4026339564956084,COMPLETE
11,11,-2749.8499999999995,2024-05-18 23:08:30.032113,2024-05-18 23:47:39.924720,0 days 00:39:09.892607,tanh,4.135417123638268e-06,1.0,0.9999,1.918481683437964e-05,linear,1.0,1024,medium,True,True,True,0.016324450666903023,COMPLETE
12,12,0.0,2024-05-18 23:08:30.036114,2024-05-18 23:45:56.071489,0 days 00:37:26.035375,relu,8.165543339610175e-05,0.95,0.995,0.0016411087211295314,constant,0.8,512,medium,True,False,False,0.08943636102731589,COMPLETE
13,13,-300.006,2024-05-18 23:08:30.036114,2024-05-18 23:47:15.481992,0 days 00:38:45.445878,tanh,4.744790965404516e-06,0.92,0.9,2.095717382606136e-05,linear,0.7,1024,small,False,True,True,0.10718814555234879,COMPLETE
14,14,0.0,2024-05-18 23:08:30.041113,2024-05-18 23:47:15.116567,0 days 00:38:45.075454,relu,1.6064304396121788e-06,0.92,0.98,0.08701165528837897,constant,0.3,512,medium,False,True,False,0.15323543682468366,COMPLETE
15,15,0.022000000000000002,2024-05-18 23:08:30.042117,2024-05-18 23:46:54.166686,0 days 00:38:24.124569,relu,3.789871989595844e-07,0.92,0.9999,0.005693130001905508,linear,0.3,32,small,False,True,True,0.11994529093987027,COMPLETE
16,16,-400.008,2024-05-18 23:17:22.490980,2024-05-18 23:55:36.554257,0 days 00:38:14.063277,tanh,1.3438937058926843e-08,1.0,0.95,1.756928492064874e-05,linear,2.0,64,small,True,True,False,0.7530311184632024,PRUNED
17,17,0.0,2024-05-18 23:45:56.072492,2024-05-19 00:23:30.921527,0 days 00:37:34.849035,relu,1.4109239370157604e-08,1.0,0.9,0.0002670731017113676,constant,5.0,8,medium,True,True,False,0.05817211424187352,COMPLETE
18,18,0.354,2024-05-18 23:46:54.170684,2024-05-19 00:18:02.416967,0 days 00:31:08.246283,tanh,0.0007048843913498689,0.8,0.999,0.0001579798500017667,constant,2.0,32,medium,True,True,True,0.7890611112359149,COMPLETE
19,19,-499.89400000000006,2024-05-18 23:46:59.031209,2024-05-19 00:25:30.381776,0 days 00:38:31.350567,tanh,0.06937262833902894,0.95,0.9999,0.012097981409440739,linear,0.8,32,medium,False,False,True,0.5588316712853495,PRUNED
20,20,0.0,2024-05-18 23:46:59.783461,2024-05-19 00:25:59.506807,0 days 00:38:59.723346,tanh,1.4445214798244066e-08,0.9,0.999,0.00039648850505563925,linear,0.5,2048,medium,True,False,True,0.06604892622647285,COMPLETE
21,21,0.0,2024-05-18 23:47:02.519390,2024-05-19 00:26:17.261286,0 days 00:39:14.741896,tanh,8.925935789597077e-06,0.98,0.999,3.528894670778842e-05,constant,0.9,2048,medium,True,False,False,0.9560090335829324,COMPLETE
22,22,0.656,2024-05-18 23:47:14.260187,2024-05-19 00:10:59.472955,0 days 00:23:45.212768,tanh,0.0007269432868788437,0.98,0.9999,1.5855435934849752e-05,linear,0.5,128,medium,True,True,True,0.6077881646604298,COMPLETE
23,23,-200.034,2024-05-18 23:47:15.120565,2024-05-19 00:25:26.464782,0 days 00:38:11.344217,tanh,2.3033708789632965e-08,0.8,0.9,3.918669464294129e-05,constant,0.3,512,small,False,False,True,0.6988918943883284,PRUNED
24,24,0.0,2024-05-18 23:47:15.483992,2024-05-19 00:25:55.359342,0 days 00:38:39.875350,relu,1.1165019752566679e-05,0.9,0.98,0.5267226791465609,constant,5.0,16,medium,True,True,False,0.533135764040864,COMPLETE
25,25,-499.946,2024-05-18 23:47:25.661939,2024-05-19 00:25:38.221355,0 days 00:38:12.559416,tanh,1.101538708453978e-07,0.95,0.99,0.06376759090284521,linear,2.0,32,small,False,True,True,0.24387397278698603,PRUNED
26,26,0.0,2024-05-18 23:47:27.292400,2024-05-19 00:26:46.035144,0 days 00:39:18.742744,relu,0.010629930083751836,0.8,0.995,0.2380340474996708,linear,2.0,2048,medium,False,False,True,0.47334946900175134,COMPLETE
27,27,0.004,2024-05-18 23:47:27.546476,2024-05-19 00:25:49.474644,0 days 00:38:21.928168,relu,1.8413180112865674e-05,0.92,0.9999,0.0009072693966799672,constant,0.3,32,small,False,True,True,0.3867576047705782,COMPLETE
28,28,0.0,2024-05-18 23:47:31.205710,2024-05-19 00:26:42.190014,0 days 00:39:10.984304,relu,0.0005953319225676563,0.8,0.98,0.5992400868299225,linear,0.3,512,medium,False,False,True,0.48034564328714235,COMPLETE
29,29,0.666,2024-05-18 23:47:37.634956,2024-05-19 00:11:21.484390,0 days 00:23:43.849434,relu,1.0046216488243938e-08,0.92,0.9999,0.0034840756088630534,linear,0.9,32,medium,False,True,True,0.023413057609676657,COMPLETE
30,30,-500.00200000000007,2024-05-18 23:47:39.925719,2024-05-19 00:26:18.467075,0 days 00:38:38.541356,tanh,1.5571556154337562e-08,1.0,0.95,0.12469670497484123,constant,5.0,512,medium,False,True,False,0.802110972905443,PRUNED
31,31,-99.92999999999999,2024-05-18 23:47:54.095900,2024-05-19 00:26:36.836050,0 days 00:38:42.740150,tanh,0.00071844534802792,0.8,0.999,0.00017019868826951683,linear,2.0,1024,medium,True,False,False,0.6413882973168489,PRUNED
32,32,0.0,2024-05-18 23:55:36.556255,2024-05-19 00:34:26.405784,0 days 00:38:49.849529,tanh,3.628314266693265e-08,0.8,0.99,0.0033990173194607723,linear,0.5,1024,medium,True,False,False,0.9280607773484608,COMPLETE
33,33,0.374,2024-05-19 00:10:59.473955,2024-05-19 00:42:11.104994,0 days 00:31:11.631039,tanh,0.0004452830019606288,0.98,0.995,1.1485008770002581e-05,linear,0.5,64,medium,True,True,True,0.6970163274070583,COMPLETE
34,34,-99.31800000000001,2024-05-19 00:11:21.485391,2024-05-19 00:35:04.545322,0 days 00:23:43.059931,tanh,5.23704051110653e-05,0.99,0.995,1.783422543406986e-05,linear,0.5,128,medium,True,True,True,0.47889589141384503,PRUNED
35,35,0.068,2024-05-19 00:18:02.417967,2024-05-19 00:56:57.998385,0 days 00:38:55.580418,tanh,0.01089798928344897,0.95,0.99,4.213401222633017e-05,linear,0.5,128,medium,True,True,True,0.3403299291758354,COMPLETE
36,36,0.6839999999999999,2024-05-19 00:23:30.923526,2024-05-19 00:46:28.897929,0 days 00:22:57.974403,tanh,0.0003727956962602603,0.95,0.999,0.0018654468622789021,constant,2.0,32,medium,True,True,True,0.8093632405028478,COMPLETE
37,37,0.374,2024-05-19 00:25:26.465782,2024-05-19 00:56:41.811082,0 days 00:31:15.345300,tanh,0.0003022434368293215,0.8,0.9999,4.126451037165262e-05,constant,2.0,32,medium,True,True,True,0.915057298373603,COMPLETE
38,38,0.33,2024-05-19 00:25:30.384777,2024-05-19 00:56:47.844768,0 days 00:31:17.459991,tanh,0.013628302862531643,0.98,0.9999,1.9871733988387335e-05,linear,0.7,128,medium,False,True,True,0.6743872195874295,COMPLETE
39,39,0.048,2024-05-19 00:25:38.222356,2024-05-19 01:04:26.737666,0 days 00:38:48.515310,tanh,4.406406458500398e-05,0.8,0.999,6.431347613841444e-05,constant,0.7,32,medium,True,True,True,0.6525024135472441,COMPLETE
40,40,0.06000000000000001,2024-05-19 00:25:49.476643,2024-05-19 01:04:48.512571,0 days 00:38:59.035928,tanh,0.018632058902647138,0.8,0.9999,4.14003046676846e-05,constant,0.8,32,medium,True,True,True,0.8257108904503068,COMPLETE
41,41,0.055999999999999994,2024-05-19 00:25:55.361343,2024-05-19 01:04:49.541177,0 days 00:38:54.179834,tanh,0.0012407991810125837,0.8,0.999,0.0001110032015310333,constant,0.6,32,medium,True,True,True,0.6871843587827918,COMPLETE
42,42,0.372,2024-05-19 00:25:59.508808,2024-05-19 00:57:23.552883,0 days 00:31:24.044075,tanh,4.247100151747803e-05,0.98,0.9999,6.029530529796563e-05,linear,0.3,128,medium,True,True,True,0.4990235923993969,COMPLETE
43,43,0.066,2024-05-19 00:26:17.263287,2024-05-19 01:05:05.744736,0 days 00:38:48.481449,tanh,0.0005486445660772112,0.9,0.999,0.00024105399736981952,constant,0.6,128,medium,True,True,True,0.7116846265091021,COMPLETE
44,44,0.974,2024-05-19 00:26:18.467075,2024-05-19 00:42:32.749907,0 days 00:16:14.282832,tanh,0.011085245193389997,0.8,0.9999,6.942083428739481e-05,constant,0.5,32,medium,True,True,True,0.6601861008740905,COMPLETE
45,45,0.36,2024-05-19 00:26:36.837057,2024-05-19 00:57:51.986808,0 days 00:31:15.149751,tanh,0.001956371439264655,0.98,0.9999,7.324363191508943e-05,linear,5.0,32,medium,True,True,True,0.6609563562784363,COMPLETE
46,46,-2549.112,2024-05-19 00:26:42.193011,2024-05-19 00:58:01.685819,0 days 00:31:19.492808,tanh,0.00756017995736438,0.98,0.999,8.197666398269407e-05,linear,0.5,128,medium,True,True,True,0.9274103803464484,PRUNED
47,47,-198.78,2024-05-19 00:26:46.038144,2024-05-19 00:43:02.780562,0 days 00:16:16.742418,tanh,0.00046792909437362644,0.8,0.999,0.0013364804652146406,constant,1.0,32,medium,True,True,True,0.7773815645399688,PRUNED
48,48,0.0,2024-05-19 00:34:26.407786,2024-05-19 01:13:13.034385,0 days 00:38:46.626599,relu,1.3076554799825544e-06,0.99,0.9999,0.0006273277683733956,linear,0.9,32,medium,False,True,True,0.006542791557599365,COMPLETE
49,49,0.0,2024-05-19 00:35:04.546321,2024-05-19 01:13:54.079350,0 days 00:38:49.533029,tanh,0.027962896203711316,0.8,0.99,0.00018822835206849299,constant,0.8,32,medium,True,True,True,0.8031716954467281,COMPLETE
50,50,0.05600000000000001,2024-05-19 00:42:11.106996,2024-05-19 01:20:51.654582,0 days 00:38:40.547586,tanh,0.037864934822874854,0.8,0.999,0.00020461455684385539,constant,0.9,64,medium,True,True,True,0.7924800110790384,COMPLETE
51,51,0.356,2024-05-19 00:42:32.750905,2024-05-19 01:13:55.069374,0 days 00:31:22.318469,tanh,0.09228802448237551,0.8,0.995,0.0005003112042764005,constant,0.5,512,medium,True,True,True,0.5187934560165883,COMPLETE
52,52,-499.85,2024-05-19 00:43:02.781561,2024-05-19 01:21:31.370637,0 days 00:38:28.589076,tanh,0.010743454250756424,0.98,0.995,0.00010259832339211125,linear,1.0,64,small,True,True,True,0.585975214676315,PRUNED
53,53,0.364,2024-05-19 00:46:28.900930,2024-05-19 01:16:36.651518,0 days 00:30:07.750588,tanh,0.002478972476520709,0.8,0.9999,7.772763323377367e-05,constant,0.5,256,medium,True,True,False,0.6175310420274851,COMPLETE
54,54,0.32,2024-05-19 00:56:41.813081,2024-05-19 01:27:55.327255,0 days 00:31:13.514174,relu,1.9867047825268873e-08,0.9,0.999,0.0021836699510791547,linear,0.9,32,medium,False,True,True,0.2698216882060742,COMPLETE
55,55,0.362,2024-05-19 00:56:47.847767,2024-05-19 01:28:05.365670,0 days 00:31:17.517903,tanh,1.1691793028785139e-08,0.99,0.9999,0.001216770437484101,linear,0.7,32,medium,False,True,True,0.08785482542570162,COMPLETE
56,56,0.0,2024-05-19 00:56:57.999385,2024-05-19 01:35:59.704951,0 days 00:39:01.705566,relu,0.0005662608249921194,0.98,0.9999,4.2985667890319774e-05,linear,0.8,64,medium,True,True,True,0.606820689260263,PRUNED
57,57,0.9880000000000001,2024-05-19 00:57:23.555883,2024-05-19 01:13:43.671102,0 days 00:16:20.115219,tanh,0.0020673694377943952,0.98,0.995,0.00015023631875953186,linear,2.0,256,medium,True,True,True,0.923558056606121,COMPLETE
58,58,0.686,2024-05-19 00:57:51.988806,2024-05-19 01:21:34.698593,0 days 00:23:42.709787,tanh,1.1141688270161954e-08,0.92,0.9999,0.0035494170488446527,linear,0.9,32,medium,True,True,True,0.20600219666399294,COMPLETE
59,59,0.0,2024-05-19 00:58:01.687816,2024-05-19 01:37:02.274062,0 days 00:39:00.586246,relu,0.0010986681817003882,1.0,0.9999,5.8316018975827944e-05,constant,0.5,32,medium,True,True,True,0.4645725910657032,PRUNED
60,60,0.0,2024-05-19 01:04:26.739666,2024-05-19 01:43:19.741708,0 days 00:38:53.002042,relu,2.062234189737093e-07,0.92,0.9999,4.240868083218496e-05,linear,0.9,8,medium,False,True,True,0.020029419781365805,PRUNED
61,61,-499.98600000000005,2024-05-19 01:04:48.513573,2024-05-19 01:43:26.108525,0 days 00:38:37.594952,relu,5.8055530782102594e-08,0.99,0.999,0.02819809142266682,linear,0.9,32,medium,False,True,True,0.2977112640818633,PRUNED
62,62,0.0,2024-05-19 01:04:49.542178,2024-05-19 01:43:44.460260,0 days 00:38:54.918082,relu,2.9992684315903745e-08,0.99,0.999,0.0011548248357074946,linear,0.9,2048,medium,False,True,True,0.11745555483225145,PRUNED
63,63,0.0,2024-05-19 01:05:05.745737,2024-05-19 01:43:50.676462,0 days 00:38:44.930725,relu,1.880575089984147e-07,0.92,0.99,0.0006182800685018769,linear,0.9,32,medium,False,True,False,0.22789357525186646,PRUNED
64,64,0.368,2024-05-19 01:13:13.036385,2024-05-19 01:44:18.232153,0 days 00:31:05.195768,tanh,0.007684895748566332,0.9,0.995,1.3900553629768944e-05,linear,0.7,64,medium,True,True,True,0.6756723276770015,COMPLETE
65,65,0.366,2024-05-19 01:13:43.672104,2024-05-19 01:45:11.785080,0 days 00:31:28.112976,relu,1.6128449531975719e-07,0.92,0.99,0.0019267632002622963,linear,0.9,64,medium,False,True,True,0.041421200298716765,COMPLETE
66,66,0.0,2024-05-19 01:13:54.080349,2024-05-19 01:52:28.315666,0 days 00:38:34.235317,relu,0.00014496230182071658,0.98,0.995,5.445357848417816e-05,linear,2.0,256,medium,True,True,True,0.9608231996483392,PRUNED
67,67,0.682,2024-05-19 01:13:55.071375,2024-05-19 01:37:40.272282,0 days 00:23:45.200907,tanh,0.0001781101754382045,0.95,0.995,0.00014032268305944856,linear,2.0,64,medium,True,True,True,0.9344327230987465,COMPLETE
68,68,0.0,2024-05-19 01:16:36.653517,2024-05-19 01:53:48.784543,0 days 00:37:12.131026,relu,1.195109583138585e-08,0.92,0.9999,0.03266903456979256,constant,0.9,64,medium,False,True,True,0.13287478766355698,PRUNED
69,69,-299.968,2024-05-19 01:20:51.655583,2024-05-19 01:59:23.352773,0 days 00:38:31.697190,tanh,0.00012371330211005102,0.98,0.995,2.4109060337716627e-05,linear,2.0,2048,medium,True,True,True,0.9771793924878887,PRUNED
70,70,0.99,2024-05-19 01:21:31.372638,2024-05-19 01:37:37.184357,0 days 00:16:05.811719,relu,1.0445816026927246e-08,0.92,0.9999,0.011130773202397234,linear,0.9,64,medium,True,True,False,0.016581548561734546,COMPLETE
71,71,0.07,2024-05-19 01:21:34.699592,2024-05-19 02:00:16.445728,0 days 00:38:41.746136,tanh,5.9015409265747565e-08,0.92,0.9999,0.00182803980354644,linear,0.9,32,medium,True,True,True,0.1503978424993889,COMPLETE
72,72,0.364,2024-05-19 01:27:55.328255,2024-05-19 01:59:03.936043,0 days 00:31:08.607788,tanh,2.8533718314843022e-08,0.92,0.9999,0.0014289565898320568,linear,0.8,64,medium,True,True,True,0.02569384207822245,COMPLETE
73,73,0.028000000000000004,2024-05-19 01:28:05.367672,2024-05-19 02:06:42.094599,0 days 00:38:36.726927,tanh,3.699397411073926e-08,0.9,0.95,0.00021622293534735522,linear,0.9,32,medium,True,True,True,0.35397380557813296,PRUNED
74,74,0.004000000000000001,2024-05-19 01:35:59.705952,2024-05-19 02:14:50.013546,0 days 00:38:50.307594,tanh,1.1076256034220566e-08,0.92,0.9999,0.00825104248348676,linear,0.6,32,medium,True,True,True,0.2766916273559116,PRUNED
75,75,0.0,2024-05-19 01:37:02.275062,2024-05-19 02:15:45.438669,0 days 00:38:43.163607,relu,2.72258618786135e-08,0.92,0.9999,0.018001271510259216,linear,0.9,128,medium,True,True,True,0.05355248786274125,PRUNED
76,76,-299.97799999999995,2024-05-19 01:37:37.186358,2024-05-19 02:16:20.376980,0 days 00:38:43.190622,tanh,4.7833435299535605e-08,0.92,0.9999,0.0067395818782786015,constant,0.9,32,medium,True,True,True,0.26630491509730936,PRUNED
77,77,0.0,2024-05-19 01:37:40.274281,2024-05-19 02:16:41.473139,0 days 00:39:01.198858,relu,3.066124542729989e-08,0.92,0.9999,0.002877533066018277,linear,0.9,512,medium,True,True,False,0.05146279708269916,PRUNED
78,78,-2849.898,2024-05-19 01:43:19.742708,2024-05-19 02:22:00.221087,0 days 00:38:40.478379,relu,2.0446568638687667e-08,1.0,0.9999,0.07781274424028474,linear,0.9,2048,medium,True,True,False,0.09230622421534283,PRUNED
79,79,0.0,2024-05-19 01:43:26.109524,2024-05-19 02:22:09.480016,0 days 00:38:43.370492,relu,1.0162393691174122e-08,0.92,0.9999,0.057515329514309495,linear,0.9,64,medium,True,True,False,0.09257211895630131,PRUNED
80,80,-198.78199999999998,2024-05-19 01:43:44.462256,2024-05-19 02:00:11.856180,0 days 00:16:27.393924,relu,2.8907376279182747e-08,0.92,0.9999,0.0029026007035517797,linear,0.9,16,medium,True,True,False,0.16442869768793375,PRUNED
81,81,-499.938,2024-05-19 01:43:50.678463,2024-05-19 02:22:37.369935,0 days 00:38:46.691472,tanh,3.720433170687941e-08,0.92,0.9999,0.01929738294400349,linear,0.9,512,medium,True,True,True,0.1704113573972943,PRUNED
82,82,0.0,2024-05-19 01:44:18.234150,2024-05-19 02:23:16.923744,0 days 00:38:58.689594,relu,1.544765536540119e-08,0.95,0.9999,0.08051156455985989,linear,0.9,64,medium,False,True,False,0.005555547256338701,PRUNED
83,83,-499.98600000000005,2024-05-19 01:45:11.787080,2024-05-19 02:24:05.767120,0 days 00:38:53.980040,tanh,0.0052357557527800405,0.95,0.995,0.02842453189639109,linear,0.3,64,medium,True,True,True,0.9483542714615248,PRUNED
84,84,-0.002,2024-05-19 01:52:28.316663,2024-05-19 02:31:20.049038,0 days 00:38:51.732375,relu,2.0290141000897381e-07,0.92,0.9999,0.27757844176686386,linear,0.9,512,medium,True,True,False,0.04983320218005441,PRUNED
85,85,0.0,2024-05-19 01:53:48.785542,2024-05-19 02:31:05.533779,0 days 00:37:16.748237,relu,1.0042936254530853e-08,0.92,0.9999,0.19506987964500738,linear,0.9,1024,medium,True,True,False,0.11538824193932405,PRUNED
86,86,0.0,2024-05-19 01:59:03.938043,2024-05-19 02:38:00.477395,0 days 00:38:56.539352,relu,1.4586703823154281e-08,0.92,0.9999,0.3769002748112243,linear,0.9,64,medium,True,True,False,0.004616123252577105,PRUNED
87,87,0.318,2024-05-19 01:59:23.353775,2024-05-19 02:30:48.833404,0 days 00:31:25.479629,relu,3.6967478836358926e-08,0.92,0.9999,0.06364832403963329,linear,0.9,512,medium,True,True,False,0.03972184399527029,COMPLETE
88,88,-499.938,2024-05-19 02:00:11.858180,2024-05-19 02:39:01.434259,0 days 00:38:49.576079,tanh,0.0002768677437625712,0.95,0.999,0.009437323150401486,constant,2.0,512,medium,True,True,True,0.8511778673229797,PRUNED
89,89,0.0,2024-05-19 02:00:16.448728,2024-05-19 02:39:11.508248,0 days 00:38:55.059520,relu,1.4262810327220894e-07,0.95,0.9999,0.06988159971238853,linear,0.9,64,medium,True,False,False,0.11539937480672287,PRUNED
90,90,-499.954,2024-05-19 02:06:42.096602,2024-05-19 02:45:37.795692,0 days 00:38:55.699090,tanh,0.0013925947559703716,0.92,0.999,0.08309813682891529,constant,2.0,16,medium,True,True,True,0.6191596466868207,PRUNED
91,91,0.686,2024-05-19 02:14:50.014546,2024-05-19 02:38:38.247488,0 days 00:23:48.232942,tanh,0.00016117089123393767,0.95,0.9999,0.00039230424602489095,linear,2.0,64,medium,True,True,True,0.844864158502026,COMPLETE
92,92,-100.014,2024-05-19 02:15:45.439669,2024-05-19 02:54:40.100673,0 days 00:38:54.661004,tanh,2.032909112679737e-05,0.95,0.999,0.016204468868247248,constant,2.0,64,medium,True,True,True,0.7344075483849257,PRUNED
93,93,0.0,2024-05-19 02:16:20.377978,2024-05-19 02:55:14.748201,0 days 00:38:54.370223,tanh,0.00155664015717015,0.95,0.995,0.029272020188358217,constant,2.0,32,medium,True,True,True,0.74254092015124,PRUNED
94,94,0.374,2024-05-19 02:16:41.474139,2024-05-19 02:48:05.422023,0 days 00:31:23.947884,tanh,0.001066615470627218,0.8,0.98,1.6686813104964587e-05,linear,2.0,256,medium,True,True,True,0.8466018467145968,COMPLETE
95,95,0.0,2024-05-19 02:22:00.223086,2024-05-19 03:00:50.124148,0 days 00:38:49.901062,relu,6.213310390724796e-07,0.9,0.95,0.0020792451727829533,linear,0.8,64,medium,True,True,False,0.09344350152531239,PRUNED
96,96,-499.946,2024-05-19 02:22:09.481018,2024-05-19 03:00:49.847594,0 days 00:38:40.366576,tanh,0.0008980720447461045,0.95,0.999,0.0346066045762413,constant,2.0,256,medium,True,True,True,0.7451892933435189,PRUNED
97,97,0.984,2024-05-19 02:22:37.370936,2024-05-19 02:38:53.982352,0 days 00:16:16.611416,tanh,1.157297324780875e-05,0.95,0.995,0.000634538351772565,linear,2.0,64,medium,True,True,True,0.8424207824264288,COMPLETE
98,98,0.9800000000000001,2024-05-19 02:23:16.924742,2024-05-19 02:39:33.159369,0 days 00:16:16.234627,tanh,3.582800916678245e-05,0.95,0.99,0.00016002671874084772,linear,2.0,64,medium,True,True,True,0.7063308323293167,COMPLETE
99,99,0.362,2024-05-19 02:24:05.768119,2024-05-19 02:55:22.903771,0 days 00:31:17.135652,tanh,1.8710896762207263e-05,0.98,0.95,4.780314496904447e-05,linear,0.5,64,medium,False,True,True,0.3898902255063202,COMPLETE
100,100,-2749.548,2024-05-19 02:30:48.835401,2024-05-19 03:01:59.460689,0 days 00:31:10.625288,tanh,0.0001675418827445206,0.95,0.995,2.3049448959552734e-05,linear,0.8,64,medium,True,True,False,0.9355586287940084,PRUNED
101,101,0.528,2024-05-19 02:31:05.534778,2024-05-19 02:54:05.154182,0 days 00:22:59.619404,tanh,0.007642158013241864,0.95,0.999,0.0017318384093111155,constant,2.0,512,medium,True,True,True,0.9602689031618319,COMPLETE
102,102,0.028000000000000004,2024-05-19 02:31:20.050038,2024-05-19 03:10:10.577455,0 days 00:38:50.527417,tanh,0.0031966410525997315,0.95,0.999,0.018192524245307463,constant,2.0,32,medium,True,True,False,0.9899545422891666,PRUNED
103,103,0.352,2024-05-19 02:38:00.479392,2024-05-19 03:09:13.876658,0 days 00:31:13.397266,tanh,0.00219773496603859,0.92,0.98,0.0020549215824932333,linear,2.0,256,medium,True,True,True,0.876535546220861,COMPLETE
104,104,0.352,2024-05-19 02:38:38.249490,2024-05-19 03:10:02.832929,0 days 00:31:24.583439,tanh,0.00012939452870743082,0.95,0.9999,0.0011965126653010294,linear,2.0,64,medium,True,True,True,0.6152980763633309,COMPLETE
105,105,0.0,2024-05-19 02:38:53.983353,2024-05-19 03:17:51.027031,0 days 00:38:57.043678,relu,8.779206195512544e-05,0.95,0.999,0.011652717988637776,constant,2.0,32,medium,True,True,True,0.7329730035843788,PRUNED
106,106,0.9860000000000001,2024-05-19 02:39:01.436259,2024-05-19 02:55:16.542479,0 days 00:16:15.106220,tanh,0.001073490428495061,0.95,0.9999,0.0004951513997932132,linear,2.0,64,medium,True,True,True,0.9832112100898525,COMPLETE
107,107,-199.958,2024-05-19 02:39:11.509249,2024-05-19 03:17:58.202434,0 days 00:38:46.693185,tanh,1.949654213633496e-05,0.95,0.995,0.007186961877305745,linear,2.0,16,medium,True,True,True,0.7104883294469952,PRUNED
108,108,0.368,2024-05-19 02:39:33.160369,2024-05-19 03:10:50.509508,0 days 00:31:17.349139,tanh,8.166856079710498e-05,0.95,0.99,2.4828931202276272e-05,linear,2.0,16,medium,True,True,True,0.9667251219385946,COMPLETE
109,109,0.012,2024-05-19 02:45:37.797694,2024-05-19 03:24:30.351003,0 days 00:38:52.553309,tanh,4.3967194337001096e-05,0.95,0.9,0.0017643651451425487,linear,2.0,64,medium,False,True,True,0.8728125694652528,PRUNED
110,110,0.9880000000000001,2024-05-19 02:48:05.423023,2024-05-19 03:04:28.742214,0 days 00:16:23.319191,tanh,2.1462769644773896e-05,0.95,0.995,0.0007866656929519205,linear,2.0,64,medium,True,True,True,0.8826297992485043,COMPLETE
111,111,0.984,2024-05-19 02:54:05.156178,2024-05-19 03:09:48.582583,0 days 00:15:43.426405,tanh,0.000162068736639609,0.95,0.9999,0.00041113102595916664,linear,2.0,16,medium,True,True,True,0.7893149165360296,COMPLETE
112,112,-299.06399999999996,2024-05-19 02:54:40.101674,2024-05-19 03:18:35.420303,0 days 00:23:55.318629,tanh,4.9341459461379295e-06,0.95,0.9999,0.0003368291280415172,linear,2.0,1024,medium,True,True,True,0.9368791948994512,PRUNED
